      localhos   PRTAB(31DEC16)    1555               05-MAR-2018   21:49:22               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 05-MAR-2018 13:24:25
Last written by FRING on 05-MAR-2018 15:14:49
Ncol 26  Nrow 2222    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
      51  04:56:05.5  00:01:04.0      3          7         1        1       0.000      0       0.000    0.000    0.000  -0.6424
      52  04:56:05.5  00:01:04.0      3          8         1        1       0.000      0       0.000    0.000    0.000   0.9544
      53  04:56:05.5  00:01:04.0      3          9         1        1       0.000      0       0.000    0.000    0.000  -0.1016
      54  04:56:05.5  00:01:04.0      3         10         1        1       0.000      0       0.000    0.000    0.000   0.8794
      55  04:56:05.5  00:01:04.0      3         11         1        1       0.000      0       0.000    0.000    0.000  -0.1512
      56  04:56:05.5  00:01:04.0      3         12         1        1       0.000      0       0.000    0.000    0.000  -0.4011
      57  04:56:05.5  00:01:04.0      3         14         1        1       0.000      0       0.000    0.000    0.000   0.9970
      58  04:56:05.5  00:01:04.0      3         18         1        1       0.000      0       0.000    0.000    0.000   0.9407
      59  04:56:05.5  00:01:04.0      3         19         1        1       0.000      0       0.000    0.000    0.000  -0.8936
      60  04:56:05.5  00:01:04.0      3         20         1        1       0.000      0       0.000    0.000    0.000  -0.5981
