      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    1
CALSFEB27   .ELWA  .   1  Disk= 2    SN Table version   3
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 06-MAR-2018 14:40:37
Last written by FRING on 06-MAR-2018 14:48:31
Ncol 26  Nrow 176    Sort cols:
    Table has     8 keyword-value pairs:
   NO_ANT   =           52
   NO_POL   =            2
   NO_IF    =            1
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table can be written as a FITS ASCII table
 
COL. NO.       1           2          3          4         5        6        7         8        9        10       11       12
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
      51  04:32:19.4  00:01:04.0      2          7         1        1       0.000      0       0.000    0.000    0.000   0.9966
      52  04:32:19.4  00:01:04.0      2          8         1        1       0.000      0       0.000    0.000    0.000  -0.8031
      53  04:32:19.4  00:01:04.0      2          9         1        1       0.000      0       0.000    0.000    0.000  -0.7802
      54  04:32:19.4  00:01:04.0      2         10         1        1       0.000      0       0.000    0.000    0.000  -0.7996
      55  04:32:19.4  00:01:04.0      2         11         1        1       0.000      0       0.000    0.000    0.000  -0.1069
      56  04:32:19.4  00:01:04.0      2         12         1        1       0.000      0       0.000    0.000    0.000  -0.9928
      57  04:32:19.4  00:01:04.0      2         14         1        1       0.000      0       0.000    0.000    0.000  -0.3150
      58  04:32:19.4  00:01:04.0      2         18         1        1       0.000      0       0.000    0.000    0.000  -0.7984
      59  04:32:19.4  00:01:04.0      2         19         1        1       0.000      0       0.000    0.000    0.000  -0.3059
      60  04:32:19.4  00:01:04.0      2         20         1        1       0.000      0       0.000    0.000    0.000   0.5630
      61  04:32:19.4  00:01:04.0      2         23         1        1       0.000      0       0.000    0.000    0.000   0.2738
      62  04:32:19.4  00:01:04.0      2         24         1        1       0.000      0       0.000    0.000    0.000   0.7431
      63  04:32:19.4  00:01:04.0      2         25         1        1       0.000      0       0.000    0.000    0.000   0.9216
      64  04:32:19.4  00:01:04.0      2         27         1        1       0.000      0       0.000    0.000    0.000  -0.9908
      65  04:32:19.4  00:01:04.0      2         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
      66  04:32:19.4  00:01:04.0      2         52         1        1       0.000      0       0.000    0.000    0.000   0.7427
      67  04:33:24.4  00:01:04.0      2          1         1        1       0.000      0       0.000    0.000    0.000  -0.3218
      68  04:33:24.4  00:01:04.0      2          2         1        1       0.000      0       0.000    0.000    0.000  -0.6333
      69  04:33:24.4  00:01:04.0      2          3         1        1       0.000      0       0.000    0.000    0.000  -0.5475
      70  04:33:24.4  00:01:04.0      2          4         1        1       0.000      0       0.000    0.000    0.000  -0.9203
      71  04:33:24.4  00:01:04.0      2          5         1        1       0.000      0       0.000    0.000    0.000   0.3844
      72  04:33:24.4  00:01:04.0      2          6         1        1       0.000      0       0.000    0.000    0.000   0.8273
      73  04:33:24.4  00:01:04.0      2          7         1        1       0.000      0       0.000    0.000    0.000   0.8797
      74  04:33:24.4  00:01:04.0      2          8         1        1       0.000      0       0.000    0.000    0.000  -0.7889
      75  04:33:24.4  00:01:04.0      2          9         1        1       0.000      0       0.000    0.000    0.000  -0.7282
      76  04:33:24.4  00:01:04.0      2         10         1        1       0.000      0       0.000    0.000    0.000  -0.3746
      77  04:33:24.4  00:01:04.0      2         11         1        1       0.000      0       0.000    0.000    0.000   0.5942
      78  04:33:24.4  00:01:04.0      2         12         1        1       0.000      0       0.000    0.000    0.000  -0.5470
      79  04:33:24.4  00:01:04.0      2         14         1        1       0.000      0       0.000    0.000    0.000   0.5019
      80  04:33:24.4  00:01:04.0      2         18         1        1       0.000      0       0.000    0.000    0.000  -0.7624
      81  04:33:24.4  00:01:04.0      2         19         1        1       0.000      0       0.000    0.000    0.000  -0.5846
      82  04:33:24.4  00:01:04.0      2         20         1        1       0.000      0       0.000    0.000    0.000   0.4410
      83  04:33:24.4  00:01:04.0      2         23         1        1       0.000      0       0.000    0.000    0.000   0.0020
      84  04:33:24.4  00:01:04.0      2         24         1        1       0.000      0       0.000    0.000    0.000   0.7834
      85  04:33:24.4  00:01:04.0      2         25         1        1       0.000      0       0.000    0.000    0.000   0.9743
      86  04:33:24.4  00:01:04.0      2         27         1        1       0.000      0       0.000    0.000    0.000  -0.5444
      87  04:33:24.4  00:01:04.0      2         51         1        1       0.000      0       0.000    0.000    0.000   1.0000
      88  04:33:24.4  00:01:04.0      2         52         1        1       0.000      0       0.000    0.000    0.000   0.8769
      89  04:41:56.9  00:01:05.0      2          1         1        1       0.000      0       0.000    0.000    0.000   0.9919
      90  04:41:56.9  00:01:05.0      2          2         1        1       0.000      0       0.000    0.000    0.000  -0.9945
      91  04:41:56.9  00:01:05.0      2          3         1        1       0.000      0       0.000    0.000    0.000   0.0987
      92  04:41:56.9  00:01:05.0      2          4         1        1       0.000      0       0.000    0.000    0.000  -0.8908
      localhos   PRTAB(31DEC16)    1555               06-MAR-2018   15:03:40               Page    3
     ROW  TIME        TIME INTER  SOURCE ID  ANTENNA   SUBARRAY  FREQ ID  I.FAR.R  NODE NO.  MBDELAY  DISP 1   DDISP 1  REAL1
  NUMBER  D/HMS       D/HMS                                               RAD/M**2           SECONDS  SEC/M**2 S/S/M**2
 
      93  04:41:56.9  00:01:05.0      2          5         1        1       0.000      0       0.000    0.000    0.000  -0.8113
      94  04:41:56.9  00:01:05.0      2          6         1        1       0.000      0       0.000    0.000    0.000  -0.7595
      95  04:41:56.9  00:01:05.0      2          7         1        1       0.000      0       0.000    0.000    0.000   0.7966
      96  04:41:56.9  00:01:05.0      2          8         1        1       0.000      0       0.000    0.000    0.000  -0.8005
      97  04:41:56.9  00:01:05.0      2          9         1        1       0.000      0       0.000    0.000    0.000   0.8032
      98  04:41:56.9  00:01:05.0      2         10         1        1       0.000      0       0.000    0.000    0.000  -0.5929
      99  04:41:56.9  00:01:05.0      2         11         1        1       0.000      0       0.000    0.000    0.000   0.4740
     100  04:41:56.9  00:01:05.0      2         12         1        1       0.000      0       0.000    0.000    0.000   0.2598
     101  04:41:56.9  00:01:05.0      2         14         1        1       0.000      0       0.000    0.000    0.000  -0.9121
     102  04:41:56.9  00:01:05.0      2         18         1        1       0.000      0       0.000    0.000    0.000   0.6237
     103  04:41:56.9  00:01:05.0      2         19         1        1       0.000      0       0.000    0.000    0.000   0.8524
     104  04:41:56.9  00:01:05.0      2         20         1        1       0.000      0       0.000    0.000    0.000  -0.1425
     105  04:41:56.9  00:01:05.0      2         23         1        1       0.000      0       0.000    0.000    0.000  -0.0674
